,creatorAgentID,creatorAgentName
0,30000,Gutiérrez Salvador
1,30001,Fernández-Novales Juan
2,30002,Tardaguila Javier
3,30003,Adrian
4,30004,Alentorn Agusti
5,30005,Shishir
6,30006,D.
7,30007,Lenore
8,30008,New York
9,30009,Quast Christian
10,30010,Sasa Mahmood
11,30011,Vuleta Ana
12,30012,Nine
13,30013,Bertin
14,30014,Capra Emanuele
15,30015,Natella Roberto
16,30016,Ercoli
17,30017,Prevosti Francisco
18,30018,Bernatchez Louis
19,30019,Ioannis
20,30020,Hacking Materials
21,30021,Browne Patricia
22,30022,Freund Jan A.
23,30023,Rysbek Zhanibek
24,30024,Benoy M.
25,30025,"R.,"
26,30026,Widmer Alex
27,30027,Nadachowska
28,30028,Patel Dhaval
29,30029,Eight
30,30030,1251
31,30031,Takahiro
32,30032,Sek Won Kong
33,30033,Christian
34,30034,Sáez Llorenç
35,30035,Parrish
36,30036,Bushman Frederic D.
37,30037,Seattle
38,30038,Tsafou Kalliopi
39,30039,Bousema Teun
40,30040,Green Elizabeth A.
41,30041,Liew Sook-Lei
42,30042,Blanc Eric
43,30043,Francesca
44,30044,Austrian
45,30045,German
46,30046,Sargatal J.
