,creatorOrganizationID,creatorOrganizationName
0,20000,AlukoSayo
1,20001,Hospital Adam
2,20002,National Park Service
3,20003,Gama-Carvalho Margarida
4,20004,Barbosa-Morais Nuno L
5,20005,Silver Pamela A
6,20006,Aury
7,20007,d'Agata Léo
8,20008,Nathan Lauga
9,20009,Stanford Network Analysis Project
10,20010,Neogi Satyajit
11,20011,Borda-De-Água Luís
12,20012,Chouquet Cecile
13,20013,Fundación
14,20014,Borgmann Anna
15,20015,University Of Washington Libraries
16,20016,Souto-Vilarósa Daniel
17,20017,Dromosys
18,20018,UCI
19,20019,Kaggle
20,20020,P.W. Ellis Daniel
21,20021,Coizet Beatrice
22,20022,JdPaletto
23,20023,Parmanand Sahu
24,20024,Monni
25,20025,Castello
26,20026,Rubinoff Daniel
27,20027,Food and Drug Administration
28,20028,Macqueen Daniel
29,20029,Haibe-Kains Benjamin
30,20030,O’Carroll
31,20031,MIT
32,20032,Margulies Daniel S
33,20033,Falkiewicz Marcel
34,20034,Sardeshmukh
35,20035,McColl
36,20036,Crouthamel
37,20037,Nordli O.
38,20038,Przybylak R.
39,20039,Favre Adrien
40,20040,GaganBhatia
41,20041,NASA
42,20042,Chrabaszcz Patryk
43,20043,Grønlund Jesper T.
44,20044,US Department of Health and Human Services
45,20045,Kubo
46,20046,Rosental Leah
47,20047,Anamitra Musib
48,20048,Kris
49,20049,Aije Egwaikhide
50,20050,Poulin
51,20051,Fernández-Mazuecos Mario
52,20052,Vargas Pablo
53,20053,Glover Beverley
54,20054,Pacifico Svetlana
55,20055,趙大宝
56,20056,Bastin ME
57,20057,Whittle IR
58,20058,EdoardoPiccari
59,20059,International Monetary Fund
60,20060,Hale Iago
61,20061,Achigan-Dako Enoch Gbènato
62,20062,European Centre For Medium-Range Weather Forecasts
63,20063,Smijesh Nadarajan Achary
64,20064,CHETTY
65,20065,KarlHaraldsson
66,20066,Pongwarin Thanapat
67,20067,Donaldson Craig
68,20068,Cross
69,20069,SAMUEL DURSO
70,20070,EDGARD
71,20071,Jahanshad Neda
72,20072,Rokem
73,20073,adithya
74,20074,Nilsson-Örtman
75,20075,López-García Pablo
76,20076,Allysan Scatterday
77,20077,Stockwell
78,20078,Lisette
79,20079,US Census Bureau
80,20080,Protection Bureau
81,20081,Consumer Financial
82,20082,Scriba Thomas
83,20083,Berlin State Library
84,20084,Bavarian State Library
85,20085,United States National Library of Medicine
86,20086,Royal Society
87,20087,Zoological Record Association
88,20088,Zoological Society
89,20089,Getty Research Institute
90,20090,Christie D.A.
91,20091,Bibliothèque nationale de France
92,20092,National Institute for Occupational Safety and Health
93,20093,Ixa Group
