,publisherOrganizationID,publisherOrganizationName
0,20157,PANGAEA - Data Publisher for Earth & Environmental Science
1,20158,Dryad Digital Repository
2,20159,University of Strathclyde
3,20160,DOE Geothermal Data Repository
4,20161,Flint Geothermal
5,20162,LLC
6,20163,CM
7,20164,Oak Ridge National Laboratory
8,20165,TN
9,20166,University of Bath
10,20167,National Renewable Energy Laboratory - Data
11,20168,NREL-DATA
12,20169,Golden
13,20170,CO (United States
14,20171,National Renewable Energy Laboratory
15,20172,Heriot-Watt University
16,20173,University of Washington Libraries
17,20174,UCAR/NCAR - Research Data Archive
18,20175,World Data Center for Climate
19,20176,GFZ Data Services
20,20177,University of Aberdeen
21,20178,Cardiff University
22,20070,NASA
23,20179,Natural Environment Research Council
24,20180,UK Research & Innovation
25,20181,MetaBrainz Foundation
26,20182,Oxford University Press
27,20183,University of Toronto Press
28,20184,European Bioinformatics Institute
29,20185,China Foreign Exchange Trade System
30,20143,Getty Research Institute
31,20186,European Union
32,20187,Publications Office of the European Union
33,20188,International Union for Conservation of Nature
34,20189,Institution of Engineering and Technology
35,20190,National Institute of Standards and Technology
36,20191,United States National Agricultural Library
37,20192,Centre for Agriculture and Biosciences International
38,20193,EBSCO Industries
39,20194,American Psychological Association
40,20195,University of Pennsylvania
41,20196,California Academy of Sciences
42,20197,Congress
43,20198,Ministry of Culture (France
44,20199,Natural Resources Canada
45,20200,Mineralogical Society of America
46,20201,International Mineralogical Association
47,20202,University of Arizona
48,20203,International Astronomical Union
49,20151,United States Geological Survey
50,20204,Washington University School of Medicine
51,20205,American Mathematical Society
52,20206,Parliament of Finland
53,20207,American Alpine Club
54,20208,Association for Computing Machinery
55,20209,FAO
56,20210,Norwegian Academy
57,20211,Royal Botanic Gardens
58,20212,Chambers Harrap
59,20213,German Research Foundation
60,20214,Harvard University
61,20215,Research Data
62,20216,International Union of Railways
63,20217,University of California
64,20218,Indiana University
65,20219,American Society of Health-System Pharmacists
66,20220,EBSCO Information Services
67,20221,Mississippi State University
68,20222,Cambridge University Press
69,20223,European Research Libraries
70,20224,Open Geospatial Consortium
71,20225,World Wide Web Consortium
72,20138,United States National Library of Medicine
73,20226,Department for Environment and Water
74,20227,ISSN International Centre
75,20228,International Atomic Energy Agency
76,20229,Library Publishing Coalition
77,20230,University of Georgia
78,20231,National Center for Scientific Research
79,20232,California State Association of Counties
